Date,Ardmore Woodford,Arkoma Woodford,Barnett,Cana Woodford,DJ-Niobrara,Eagle Ford,Fayetteville,Granite Wash,Haynesville,Marcellus,Mississippian,Permian,Utica,Williston,Others
3/29/2019,5,3,1,49,29,78,0,8,57,65,4,454,15,60,178
4/5/2019,5,3,1,50,30,78,0,8,58,68,4,462,15,61,182
4/12/2019,5,1,1,48,30,77,0,9,56,62,4,464,18,61,186
4/18/2019,5,1,1,48,29,77,0,9,54,62,3,463,18,61,181
4/26/2019,5,1,1,46,29,73,0,8,54,62,5,460,17,58,172
5/3/2019,5,3,1,46,30,74,0,8,52,61,6,459,18,57,170
5/10/2019,5,3,1,47,29,74,0,8,52,63,6,457,17,56,170
5/17/2019,5,3,1,48,30,74,0,7,50,60,6,454,20,56,173
5/24/2019,5,3,1,45,29,75,0,7,50,62,4,451,19,57,175
5/31/2019,5,3,1,45,29,75,0,7,51,61,4,452,18,57,176
6/7/2019,6,3,1,44,28,74,0,8,53,58,4,446,18,56,176
6/14/2019,6,3,1,44,28,73,0,8,53,58,4,441,18,56,176
6/21/2019,6,2,1,45,28,73,0,6,53,58,3,439,17,56,180
6/28/2019,6,2,1,49,26,71,0,4,53,58,2,441,17,55,182
7/3/2019,6,2,1,47,26,71,0,4,51,59,2,443,17,55,179
7/12/2019,6,2,1,48,27,66,0,4,52,59,2,437,17,55,182
7/19/2019,4,2,1,49,27,67,0,4,51,58,2,440,17,55,177
7/26/2019,5,3,1,49,29,66,0,4,51,56,2,443,15,47,175
8/2/2019,5,3,1,48,29,66,0,2,52,56,2,442,15,47,174
8/9/2019,5,3,1,45,29,66,0,4,50,56,2,444,15,47,167
8/16/2019,5,3,1,46,30,67,0,4,50,56,2,441,13,48,169
8/23/2019,4,3,1,45,25,67,0,4,50,53,3,434,13,48,166
8/30/2019,3,4,1,45,23,67,0,3,49,52,3,429,13,51,161
9/6/2019,3,4,1,42,23,67,0,3,49,52,2,427,13,54,158
9/13/2019,3,4,4,39,22,66,0,3,50,50,2,419,12,55,157
9/20/2019,2,3,4,36,23,63,0,3,50,50,2,417,12,53,150
9/27/2019,2,3,4,38,22,62,0,2,50,50,2,414,12,53,146
10/4/2019,2,3,4,36,21,60,0,2,50,48,2,415,12,55,145
10/11/2019,2,3,4,33,21,60,0,2,52,47,2,421,11,55,143
10/18/2019,2,3,4,30,22,60,0,2,52,44,2,422,11,55,142
10/25/2019,1,3,4,28,22,63,0,1,52,42,3,417,11,53,130
11/1/2019,1,3,4,28,22,63,0,0,51,40,2,416,11,53,128
11/8/2019,1,3,4,29,22,60,0,0,51,40,2,412,11,52,130
11/15/2019,0,3,4,28,21,60,0,0,51,37,3,408,13,51,127
11/22/2019,0,3,4,27,22,60,0,0,53,36,3,405,13,51,126
11/27/2019,0,3,2,27,21,60,0,0,53,36,2,405,13,51,129
12/6/2019,0,3,2,25,21,60,0,1,51,37,2,400,13,52,132
12/13/2019,0,3,1,25,20,60,0,1,50,41,2,400,11,52,133
12/20/2019,0,3,2,23,20,67,0,1,50,40,2,414,11,51,129
12/27/2019,0,3,1,21,20,67,0,1,49,41,2,405,11,52,132
1/3/2020,1,2,1,20,20,67,0,1,49,40,2,403,11,52,127
1/10/2020,2,2,1,21,19,67,0,1,45,41,2,397,10,51,122
1/17/2020,3,2,1,21,19,69,0,0,45,41,2,403,10,53,127
1/24/2020,3,2,1,21,19,69,0,0,43,40,2,405,11,53,125
1/31/2020,4,2,1,19,20,70,0,1,41,40,2,406,11,53,120
2/7/2020,5,1,1,18,20,70,0,1,41,39,2,405,11,53,123
2/14/2020,5,1,1,19,20,70,0,2,41,38,2,408,11,53,119
2/21/2020,5,1,1,19,19,70,0,2,42,38,2,409,11,53,119
2/28/2020,4,1,1,21,20,68,0,1,43,38,2,411,11,53,116
3/6/2020,4,1,1,18,20,68,0,2,43,37,2,415,11,52,119
3/13/2020,4,1,1,19,20,68,0,2,43,39,2,418,9,52,114
3/20/2020,4,1,1,18,20,67,0,3,43,39,2,405,9,51,109
3/27/2020,4,1,1,13,19,63,0,3,40,39,1,382,9,49,104
4/3/2020,4,1,1,11,18,57,0,3,39,39,0,351,9,43,88
4/9/2020,4,1,2,9,16,51,0,2,38,38,0,316,9,41,75
4/17/2020,4,1,2,7,16,42,0,2,35,35,0,283,9,34,59
4/24/2020,4,0,2,4,15,35,0,2,34,32,0,246,9,27,55
5/1/2020,4,0,2,4,7,30,0,2,32,30,0,219,9,26,43
5/8/2020,3,0,2,4,7,27,0,2,32,30,0,198,8,20,41
5/15/2020,2,0,2,4,7,24,0,2,32,30,0,175,8,16,37
5/22/2020,2,0,2,4,5,22,0,2,32,30,0,162,8,14,35
5/29/2020,2,1,2,4,5,22,0,2,32,28,0,148,9,12,34
6/5/2020,1,1,2,5,5,13,0,1,31,28,0,141,9,12,35
6/12/2020,1,1,2,5,5,13,0,0,33,28,0,137,9,11,34
6/19/2020,1,0,2,5,5,11,0,0,32,27,0,132,9,10,32
6/26/2020,1,0,2,6,4,11,0,0,32,27,0,131,9,10,32
7/2/2020,1,0,2,6,4,11,0,0,33,28,0,126,8,10,34
7/10/2020,1,0,1,6,4,9,0,0,33,27,0,125,8,10,34
