basin,value
Ardmore Woodford,1
Arkoma Woodford,2
Barnett,1
Cana Woodford,20
DJ-Niobrara,20
Eagle Ford,67
Fayetteville,0
Granite Wash,1
Haynesville,49
Marcellus,40
Mississippian,2
Permian,403
Utica,11
Williston,52
Other US Basins,127
