basin,value
Ardmore Woodford,0
Arkoma Woodford,1
Barnett,0
Cana Woodford,6
DJ-Niobrara,4
Eagle Ford,11
Fayetteville,0
Granite Wash,1
Haynesville,32
Marcellus,25
Mississippian,0
Permian,117
Utica,6
Williston,11
Other US Basins,30
