Week,Storage
4/8/2011,1606
4/1/2011,1578
3/25/2011,1622
3/18/2011,1611
3/11/2011,1616
3/4/2011,1672
2/25/2011,1745
2/18/2011,1831
2/11/2011,1910
2/4/2011,2144
1/28/2011,2355
1/21/2011,2543
1/14/2011,2716
1/7/2011,2960
12/31/2010,3097
12/24/2010,3232
12/17/2010,3369
12/10/2010,3553
12/3/2010,3717
11/26/2010,3805
11/19/2010,3828
11/12/2010,3834
11/5/2010,3840
10/29/2010,3821
10/22/2010,3754
10/15/2010,3683
10/8/2010,3590
10/1/2010,3499
9/24/2010,3415
9/17/2010,3341
9/10/2010,3267
9/3/2010,3163
8/27/2010,3105
8/20/2010,3054
8/13/2010,3013
8/6/2010,2984
7/30/2010,2947
7/23/2010,2919
7/16/2010,2893
7/9/2010,2841
7/2/2010,2761
6/25/2010,2684
6/18/2010,2625
6/11/2010,2542
6/4/2010,2456
5/28/2010,2357
5/21/2010,2268
5/14/2010,2165
5/7/2010,2091
4/30/2010,1994
4/23/2010,1912
4/16/2010,1828
4/9/2010,1754
4/2/2010,1670
3/26/2010,1638
3/19/2010,1626
3/12/2010,1614
3/5/2010,1627
2/26/2010,1738
2/19/2010,1853
2/12/2010,2026
2/5/2010,2214
1/29/2010,2406
1/22/2010,2521
1/15/2010,2607
1/8/2010,2850
1/1/2010,3117
