basin,value
Ardmore Woodford,1
Arkoma Woodford,0
Barnett,2
Cana Woodford,6
DJ-Niobrara,4
Eagle Ford,11
Fayetteville,0
Granite Wash,0
Haynesville,33
Marcellus,28
Mississippian,0
Permian,126
Utica,8
Williston,10
Other US Basins,34
