Week,Price
2010-01-01,5.88
2010-01-08,6.56
2010-01-15,5.68
2010-01-22,5.56
2010-01-29,5.47
2010-02-05,5.47
2010-02-12,5.55
2010-02-19,5.41
2010-02-26,4.87
2010-03-05,4.74
2010-03-12,4.45
2010-03-19,4.23
2010-03-26,4.01
2010-04-02,3.82
2010-04-09,4
2010-04-16,4.06
2010-04-23,3.99
2010-04-30,4.16
2010-05-07,3.94
2010-05-14,4.19
2010-05-21,4.26
2010-05-28,4.18
2010-06-04,4.44
2010-06-11,4.73
2010-06-18,5.1
2010-06-25,4.93
2010-07-02,4.66
2010-07-09,4.65
2010-07-16,4.48
2010-07-23,4.64
2010-07-30,4.75
2010-08-06,4.8
2010-08-13,4.42
2010-08-20,4.3
2010-08-27,3.96
2010-09-03,3.76
2010-09-10,3.8
2010-09-17,4.01
2010-09-24,4.01
2010-10-01,3.79
2010-10-08,3.52
2010-10-15,3.49
2010-10-22,3.37
2010-10-29,3.31
2010-11-05,3.39
2010-11-12,3.7
2010-11-19,3.73
2010-11-26,3.9
2010-12-03,4.2
2010-12-10,4.46
2010-12-17,4.26
2010-12-24,4.09
2010-12-31,4.16
2011-01-07,4.52
2011-01-14,4.46
2011-01-21,4.57
2011-01-28,4.45
2011-02-04,4.51
2011-02-11,4.17
2011-02-18,3.9
2011-02-25,3.84
2011-03-04,3.82
2011-03-11,3.8
2011-03-18,3.88
2011-03-25,4.12
2011-04-01,4.3
2011-04-08,4.15
2011-04-15,4.12
2011-04-22,4.27
2011-04-29,4.39
2011-05-06,4.5
2011-05-13,4.18
2011-05-20,4.15
2011-05-27,4.35
2011-06-03,4.65
2011-06-10,4.83
2011-06-17,4.56
2011-06-24,4.33
2011-07-01,4.32
2011-07-08,4.3
2011-07-15,4.41
2011-07-22,4.58
2011-07-29,4.4
2011-08-05,4.21
2011-08-12,4.08
2011-08-19,4.01
2011-08-26,4.01
2011-09-02,4.01
2011-09-09,3.96
2011-09-16,3.95
2011-09-23,3.77
2011-09-30,3.81
2011-10-07,3.53
2011-10-14,3.48
2011-10-21,3.62
2011-10-28,3.62
2011-11-04,3.47
2011-11-11,3.42
2011-11-18,3.1
2011-11-25,2.92
2011-12-02,3.37
2011-12-09,3.39
2011-12-16,3.08
2011-12-23,3.04
2011-12-30,3.04
2012-01-06,2.92
2012-01-13,2.81
2012-01-20,2.4
2012-01-27,2.57
2012-02-03,2.45
2012-02-10,2.51
2012-02-17,2.52
2012-02-24,2.63
2012-03-02,2.45
2012-03-09,2.26
2012-03-16,2.11
2012-03-23,2.16
2012-03-30,2.06
2012-04-06,1.97
2012-04-13,1.93
2012-04-20,1.86
2012-04-27,2
2012-05-04,2.26
2012-05-11,2.33
2012-05-18,2.49
2012-05-25,2.59
2012-06-01,2.37
2012-06-08,2.33
2012-06-15,2.24
2012-06-22,2.52
2012-06-29,2.76
2012-07-06,2.84
2012-07-13,2.82
2012-07-20,2.92
2012-07-27,3.13
2012-08-03,3.12
2012-08-10,2.92
2012-08-17,2.77
2012-08-24,2.79
2012-08-31,2.72
2012-09-07,2.82
2012-09-14,2.88
2012-09-21,2.76
2012-09-28,2.93
2012-10-05,3.22
2012-10-12,3.26
2012-10-19,3.31
2012-10-26,3.41
2012-11-02,3.44
2012-11-09,3.4
2012-11-16,3.54
2012-11-23,3.61
2012-11-30,3.66
2012-12-07,3.41
2012-12-14,3.3
2012-12-21,3.3
2012-12-28,3.34
2013-01-04,3.28
2013-01-11,3.18
2013-01-18,3.44
2013-01-25,3.54
2013-02-01,3.26
2013-02-08,3.33
2013-02-15,3.26
2013-02-22,3.28
2013-03-01,3.48
2013-03-08,3.57
2013-03-15,3.74
2013-03-22,3.99
2013-03-29,4.05
2013-04-05,3.99
2013-04-12,4.13
2013-04-19,4.25
2013-04-26,4.24
2013-05-03,4.23
2013-05-10,3.89
2013-05-17,3.95
2013-05-24,4.14
2013-05-31,4.12
2013-06-07,3.94
2013-06-14,3.77
